model,go_id,term,term_size,overlap,overlap_genes,p_value,fdr_bh,neg_log10_fdr,ranked_top_genes,best_fdr
True K562,GO:0002181,cytoplasmic translation,52,41,RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL26;RPL27A;RPL28;RPL3;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1;RPS11;RPS12;RPS14;RPS18;RPS19;RPS20;RPS23;RPS24;RPS27;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS8,3.532983060688325e-42,2.02439929377441e-39,38.693703822869836,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,3.2564114025620705e-45
True K562,GO:0006412,translation,94,41,RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL26;RPL27A;RPL28;RPL3;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1;RPS11;RPS12;RPS14;RPS18;RPS19;RPS20;RPS23;RPS24;RPS27;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS8,5.8177957526136326e-27,1.6667984831238057e-24,23.7781169034459,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,2.1969712259421687e-29
True K562,GO:0034242,negative regulation of syncytium formation by plasma membrane fusion,27,23,CFLAR;RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1,2.862351634190626e-25,4.100318715978072e-23,22.387182384448337,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,4.100318715978072e-23
True K562,GO:1901740,negative regulation of myoblast fusion,27,23,CFLAR;RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1,2.862351634190626e-25,4.100318715978072e-23,22.387182384448337,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,4.100318715978072e-23
True K562,GO:1901739,regulation of myoblast fusion,29,23,CFLAR;RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1,6.977371719434185e-24,7.996067990471576e-22,21.097123521737377,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,6.80293742644833e-22
True K562,GO:0060142,regulation of syncytium formation by plasma membrane fusion,30,23,CFLAR;RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1,2.8377581922195666e-23,2.710059073569686e-21,20.567021242319054,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,2.3715550606406377e-21
True K562,GO:0006941,striated muscle contraction,31,22,RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1,4.7265877953223286e-21,3.869049723885278e-19,18.41239568881837,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,2.283276173449488e-22
True K562,GO:0006936,muscle contraction,36,23,RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1;TPM4,2.3521702237782964e-20,1.6847419227812048e-18,17.773466617104923,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,5.2323159773924654e-20
True K562,GO:0003012,muscle system process,43,24,CFLAR;RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL27A;RPL28;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1;TPM4,3.1739191769275185e-19,2.0207285426438535e-17,16.694492024114638,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,1.856742718502598e-17
True K562,GO:0009059,macromolecule biosynthetic process,353,57,ATF4;CEBPB;CEBPG;CHD2;DDIT3;DRAP1;EEF1B2;EEF1G;JUND;OSTC;POLR2J3;PSAP;RPL10;RPL10A;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18A;RPL23;RPL24;RPL26;RPL27A;RPL28;RPL3;RPL32;RPL34;RPL35A;RPL36A;RPL37;RPL37A;RPL39;RPL5;RPL7;RPLP1;RPS11;RPS12;RPS14;RPS18;RPS19;RPS20;RPS23;RPS24;RPS27;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS8;TCEA1;TMEM219;TMEM59;XBP1,1.8164242289928894e-13,1.0408110832129257e-11,10.982628091780263,TPT1;MALAT1;FTH1;DDIT4;RPS27;EIF1;ZFAS1;PHGDH;RPS18;TCEA1;HSPA5;TRIB3;SH3BGRL3;ATF5;DDIT3;RTN4;RPL26;CD63;RPS3A;EDF1;CCNI;RPL34;RPL28;WARS;RPS6;RPS4X;RPL36A;RPS11;RPL37A;RPL37;XBP1;RPL13A;RPS8;RPS14;GARS;ACTG1;ANAPC16;RPL13;MTHFD2;RPLP1;RPS24;SLC3A2;EIF1B;RPS12;EIF4EBP1;TMBIM6;RPL5;RPL18A;SHMT2;CKLF;BTG1;CAP1;RPL10A;RPS23;PPDPF;RPL10;RPS19;CEBPB;ERP29;SQSTM1;SEC11A;PPP1R15A;RPL15;HERPUD1;IDH1;PTTG1IP;RPS3;RPL32;RPL35A;CLIC1;SSR2;RPL7;LGALS1;ARPC1B;N4BP2L2;RTN3;RPS5;RPS20;RPL39;HAX1;ATF4;PRDX5;COX7A2L;GCAT;RPL3;SMYD3;C12orf57;CRNDE;CALCOCO2;PSIP1;MCFD2;PSAP;PPP1R18;PSAT1;TMEM59;RPL17;RPL27A;SMDT1;PSME1;CD164;FLOT1;UBE2L6;COMMD6;PLP2;PLD3;EIF3E;RPL23;SSR4;C9orf16;ELF1;SMAP2;RSL24D1;EPRS;TPM4;DRAP1;EPS15;B2M;CEBPG;SARS;LAPTM4B;FTL;SLC25A6;UBC;PNISR;COMT;CFLAR;PPIB;MKNK2;BRK1;ITM2B;PGLS;RNF41;JUND;LMO4;LY6E;PSPH;EIF3H;TRIM56;N4BP2;CCNB1IP1;GABARAP;RPS28;GFPT1;ERV3-1;CST3;LINC00662;CLCN3;IFITM2;NUCB2;TAX1BP1;RPS29;TMEM219;TXNDC12;SEC61B;XPOT;SAT1;MARS;TLN1;CHD2;POLR2J3;TMBIM4;P4HB;SLC7A11;AAK1;EIF3F;SLC31A1;CLIP1;ANKRD11;DSTN;OSTC;EEF1B2;EIF3L;IER3;RNF181;TSEN15;RPL14;ARPC5;VAMP2;KDM5B;VPS28;RHOBTB3;ATF6;TRIM44;MDM4;SLC7A5;TATDN1;VASP;EEF1G;EMP3;RBCK1;RPL24;VMP1;NQO1;COPA;CHD9;ARMCX3;CCDC115;RGS10;SH3GLB1;OS9,3.789695210899639e-18
